sales,quantity,profit,label
261.96,2,41.9136,1
731.94,3,219.582,0
14.62,2,6.8714,1
957.5775,5,-383.031,0
22.368000000000002,2,2.5164,1
48.86,7,14.1694,1
7.28,4,1.9656,1
907.1519999999999,6,90.7152,0
18.504,3,5.7825,1
114.9,5,34.47,1
1706.184,9,85.3092,0
911.424,4,68.3568,0
15.552,3,5.4432,1
407.976,3,132.5922,1
68.81,5,-123.85799999999999,1
2.544,3,-3.8160000000000003,1
665.88,6,13.3176,0
55.5,2,9.99,1
8.56,2,2.4824,1
213.48,3,16.011,1
22.72,4,7.3839999999999995,1
19.46,7,5.0596,1
60.34,7,15.6884,1
71.372,2,-1.0196,1
1044.63,3,240.2649,0
11.648,2,4.2224,1
90.57,3,11.7741,1
3083.43,7,-1665.0522,2
9.618,2,-7.0532,1
124.2,3,15.525,1
3.264,2,1.1016,1
86.304,6,9.7092,1
6.858,6,-5.715,1
15.76,2,3.5460000000000003,1
29.471999999999998,3,9.9468,1
1097.5439999999999,7,123.4737,0
190.92,5,-147.963,1
113.32799999999999,9,35.415,1
532.3992,3,-46.9764,1
212.058,3,-15.147,1
371.168,4,41.7564,1
147.168,4,16.5564,1
77.88,2,3.8939999999999997,1
95.616,2,9.5616,1
45.98,2,19.7714,1
17.46,2,8.2062,1
211.96,4,8.4784,1
45.0,3,4.95,1
21.8,2,6.104,1
38.22,6,17.9634,1
75.18,6,35.3346,1
6.16,2,2.9568,1
89.99,1,17.0981,1
15.26,7,6.2566,1
1029.95,5,298.6855,0
208.56,6,52.14,1
32.4,5,15.552,1
319.41,5,7.098,1
14.56,2,6.9888,1
30.0,2,3.3,1
48.48,4,16.362000000000002,1
1.68,1,0.84,1
13.98,2,6.1512,1
25.824,6,9.3612,1
146.73,3,68.9631,1
79.76,4,22.3328,1
213.115,5,-15.2225,1
1113.024,8,111.3024,0
167.968,4,62.988,1
75.88,2,35.6636,1
4.6160000000000005,1,1.7309999999999999,1
19.05,3,8.763,1
831.936,8,-114.3912,0
97.04,2,1.213,1
72.78399999999999,1,-18.195999999999998,1
1.248,3,-1.9344,1
9.708,3,-5.8248,1
27.24,3,2.7239999999999998,1
19.3,5,-14.475,1
208.16,1,56.2032,1
16.74,3,8.0352,1
14.9,5,4.172,1
21.39,1,6.2031,1
200.984,7,62.8075,1
230.37599999999998,3,-48.9549,1
301.96,2,33.2156,1
19.99,1,6.7966,1
6.16,2,2.9568,1
158.368,7,13.8572,1
20.1,3,6.632999999999999,1
73.584,2,8.2782,1
6.48,1,3.1104,1
12.96,2,6.2208,1
53.34,3,16.5354,1
32.96,2,16.1504,1
5.682,1,-3.7880000000000003,1
96.53,7,40.5426,1
51.312,3,17.9592,1
77.88,6,22.5852,1
64.624,7,22.6184,1
95.976,3,-10.7973,1
1.788,3,-3.0396,1
23.92,4,11.7208,1
238.896,6,-26.8758,1
102.36,3,-3.8385,1
36.882,3,-25.8174,1
74.112,8,17.6016,1
27.991999999999997,1,2.0994,1
3.304,1,1.0738,1
339.96,5,67.992,1
41.96,2,10.9096,1
75.96,2,22.788,1
27.24,6,13.3476,1
40.096,14,14.5348,1
4.72,2,1.652,1
23.976,3,7.4925,1
130.464,6,44.0316,1
787.53,3,165.3813,0
157.79399999999998,1,-115.7156,1
47.04,3,18.3456,1
30.84,4,13.878,1
226.56,6,63.4368,1
115.02,9,51.75899999999999,1
68.04,7,19.7316,1
600.558,3,-8.5794,0
617.7,6,-407.68199999999996,0
2.388,2,-1.8308,1
243.99200000000002,7,30.499000000000002,1
81.42399999999999,2,-9.1602,1
238.56,3,26.2416,1
59.97,5,-11.994000000000002,1
78.304,2,29.364,1
21.456,9,6.9732,1
20.04,3,9.6192,1
35.44,1,16.6568,1
11.52,4,3.4560000000000004,1
4.02,2,1.9698,1
76.176,3,26.6616,1
65.88,6,18.4464,1
43.12,14,20.6976,1
82.8,2,10.35,1
8.82,3,2.3814,1
10.86,3,5.1042,1
143.7,3,68.976,1
839.43,3,218.2518,0
671.93,7,20.1579,0
93.88799999999999,4,12.9096,1
384.45,11,103.8015,1
149.97,3,5.9988,1
1951.84,8,585.552,0
171.55,5,80.6285,1
157.92,5,17.766,1
203.18400000000003,2,15.2388,1
58.38,7,26.271,1
105.52,4,48.5392,1
80.88,6,21.0288,1
6.63,3,1.7901,1
457.56800000000004,2,51.4764,1
14.62,2,6.8714,1
944.93,7,236.2325,0
5.98,1,2.6910000000000003,1
54.38399999999999,2,1.3596,1
28.4,5,13.347999999999999,1
27.68,2,9.687999999999999,1
9.936,3,2.7324,1
8159.951999999999,8,-1359.9920000000002,2
275.928,3,-58.6347,1
1740.06,9,-24.858,0
32.064,6,6.8136,1
177.98,5,-453.849,1
143.976,3,8.9985,1
20.94,3,9.8418,1
110.96,2,53.2608,1
340.144,7,21.259,1
52.448,2,-131.12,1
20.16,4,6.5520000000000005,1
97.264,4,-243.16,1
396.80199999999996,7,-11.3372,1
15.88,5,-3.7715,1
3.28,1,1.4104,1
24.816,2,1.8612,1
408.744,7,76.6395,1
503.96,4,131.0296,1
149.95,5,41.986000000000004,1
29.0,2,7.25,1
7.16,2,3.4368,1
176.8,8,22.984,1
37.224000000000004,3,3.7224,1
20.016,3,6.255,1
899.1360000000001,4,112.39200000000001,0
71.76,6,20.0928,1
51.84,8,24.8832,1
626.352,3,46.9764,0
19.9,5,6.567,1
14.28,7,6.7116,1
7.4079999999999995,2,1.2038,1
6.047999999999999,3,1.5876,1
46.26,3,12.0276,1
2.946,2,-2.2586,1
16.055999999999997,3,5.8203,1
21.744,3,6.795,1
218.75,2,-161.875,1
2.6,1,0.2925,1
66.28399999999999,2,-178.9668,1
35.168,7,9.6712,1
444.76800000000003,4,44.4768,1
83.92,4,5.8744,1
131.98,2,35.6346,1
15.92,4,7.4824,1
52.29,9,16.2099,1
91.99,1,3.6796,1
20.8,2,6.5,1
23.68,2,8.88,1
452.45,5,-244.32299999999998,1
62.982,3,-14.6958,1
1188.0,9,-950.4,0
89.584,2,4.4792,1
93.06,6,26.0568,1
302.376,3,22.6782,1
5.584,2,1.8148,1
22.704,6,8.2302,1
19.776,4,-13.8432,1
72.704,4,19.0848,1
479.98800000000006,4,-383.9904,1
27.168000000000003,2,2.7168,1
2.2,1,0.968,1
622.45,5,136.939,0
21.98,1,0.2198,1
161.56799999999998,2,-28.2744,1
389.69599999999997,8,43.8408,1
18.648,7,-12.432,1
233.86,2,-102.04799999999999,1
620.6145,3,-248.2458,0
5.327999999999999,2,-3.552,1
258.072,3,0.0,1
617.976,3,-7.7247,0
10.56,2,4.752,1
25.92,5,9.396,1
419.68,5,-356.728,1
11.687999999999999,3,-4.6752,1
31.984,2,11.1944,1
177.225,5,-120.51299999999999,1
4.044,3,-2.8308,1
7.4079999999999995,2,1.2038,1
2001.86,7,580.5394,0
166.72,2,41.68,1
47.88,6,23.94,1
1503.25,5,496.0725,0
25.92,4,12.4416,1
321.568,2,28.1372,1
7.61,1,3.5767,1
3347.37,13,636.0003,2
80.58,6,22.5624,1
361.92,4,162.864,1
12.132,9,-8.4924,1
82.368,2,-19.5624,1
53.92,5,4.044,1
647.904,6,56.6916,0
20.37,3,6.9258,1
221.55,3,6.6465,1
17.52,5,6.132000000000001,1
1.624,2,-4.466,1
3059.982,3,-509.99699999999996,2
2519.958,7,-251.9958,0
328.224,4,28.7196,1
79.9,2,35.156,1
14.015999999999998,3,4.7304,1
7.56,6,0.3024,1
37.208,1,-7.4416,1
57.576,3,21.590999999999998,1
725.84,4,210.4936,0
209.93,7,92.3692,1
5.28,3,2.3232,1
10.92,3,4.095,1
8.82,2,4.0572,1
5.98,1,1.5548,1
11.648,2,4.0768,1
18.176,4,5.9072,1
59.711999999999996,6,5.9712,1
24.84,3,8.693999999999999,1
2.08,5,-3.432,1
1114.4,7,376.11,0
1038.84,5,51.942,0
141.76,5,47.843999999999994,1
239.8,5,47.96,1
31.104,6,10.8864,1
254.058,7,-169.372,1
194.528,2,24.316,1
961.48,5,-204.3145,0
19.096,7,6.6836,1
18.496,8,6.2424,1
255.984,2,54.3966,1
86.97,3,-48.7032,1
300.416,8,78.8592,1
230.352,3,20.1558,1
218.352,3,-24.5646,1
78.6,5,-62.88,1
27.552,3,9.2988,1
32.4,5,15.552,1
1082.48,8,10.8248,0
56.91,3,27.3168,1
77.6,4,38.024,1
14.28,1,6.5688,1
219.075,3,-131.445,1
26.8,2,12.864,1
9.84,3,2.8536,1
45.48,3,20.9208,1
289.2,6,83.868,1
4.89,1,2.0049,1
15.136,4,3.5948,1
466.76800000000003,2,52.5114,1
15.232000000000001,1,1.7136,1
6.263999999999999,3,2.0358,1
87.54,3,37.6422,1
178.38400000000001,2,22.298000000000002,1
15.552,3,5.4432,1
99.13600000000001,4,8.6744,1
135.882,1,24.1568,1
3991.98,2,1995.99,2
275.94,6,80.0226,1
360.0,4,129.6,1
43.57,1,13.071,1
7.16,2,3.58,1
251.52,6,81.744,1
99.99,1,34.9965,1
15.992,1,0.9995,1
290.89799999999997,3,-67.8762,1
54.224,2,3.389,1
786.7439999999999,4,-258.5016,0
100.24,10,33.830999999999996,1
37.764,6,-27.6936,1
82.8,2,-20.7,1
20.724,2,-13.815999999999999,1
4.896,3,-3.4272,1
